"Hiragana","Kanji","English","Example","Translation"
"あう","会う","to meet","週末[しゅうまつ]に友達[ともだち]と映画館[えいがかん]で会[あ]います。","I will meet my friend at the movie theater on the weekend."
"あける","開ける","to open","暑[あつ]いので、窓[まど]を大[おお]きく開[あ]けます。","It's hot, so I will open the window wide."
"あげる","","to give","誕生日[たんじょうび]に友達[ともだち]にプレゼントをあげます。","I will give a present to my friend for their birthday."
"あそぶ","遊ぶ","to play, to socialize","子供[こども]たちは公園[こうえん]で一日中[いちにちじゅう]遊[あそ]びます。","The children play all day at the park."
"あつまる","集まる","to assemble","会議[かいぎ]のために、午後[ごご]3時[さんじ]に会議室[かいぎしつ]に集[あつ]まります。","We will assemble in the meeting room at 3 p.m. for the meeting."
"あつめる","集める","to collect","趣味[しゅみ]で、世界中[せかいじゅう]の切手[きって]を集[あつ]めています。","As a hobby, I collect stamps from all over the world."
"あらう","洗う","to wash","食事[しょくじ]の後に、皿[さら]をきれいに洗[あら]います。","I will wash the dishes cleanly after the meal."
"ある","","to be, to exist","図書館[としょかん]にはたくさんの本[ほん]があります。","There are many books in the library."
"あるく","歩く","to walk","毎日[まいにち]、公園[こうえん]を30分[さんじゅっぷん]歩[ある]きます。","I walk in the park for 30 minutes every day."
"いう","言う","to say","先生[せんせい]は、授業中[じゅぎょうちゅう]に静[しず]かにしてくださいと言[い]いました。","The teacher said, ""Please be quiet during class."""
"いく","行く","to go","来週[らいしゅう]、京都[きょうと]に旅行[りょこう]に行[い]きます。","I will go on a trip to Kyoto next week."
"いそぐ","急ぐ","to hurry","電車[でんしゃ]に遅[おく]れるので、急[いそ]いで駅[えき]まで行[い]きます。","I will hurry to the station because I am late for the train."
"いる","","to be, to exist","部屋[へや]に椅子[いす]が３つあります。","There are three chairs in the room."
"いれる","入れる","to put in","冷蔵庫[れいぞうこ]にジュースを入[い]れます。","I will put the juice in the refrigerator."
"うごく","動く","to move","地震[じしん]で建物[たてもの]が少[すこ]し動[うご]きました。","The building moved a little due to the earthquake."
